CLAMATO ID,RA,DEC,z
cpilot02_zsp2.4_01882_F.fits,149.99516,2.23734,2.45
cpilot02_zsp2.5_00990_F.fits,149.98834,2.20705,2.458
cpilot02_zsp2.6_00986_F.fits,149.99481,2.21234,2.556
cpilot02_zsp2.6_01009_F.fits,150.0136,2.16877,2.623
cpilot02_zsp2.7_00982_F.fits,150.02107,2.21256,2.658
cpilot09_zph2.5_15182_F.fits,150.12419,2.34884,2.513
cpilot09_zph2.5_15268_F.fits,150.15688,2.30079,2.502
cpilot09_zph2.6_12505_F.fits,150.14354,2.28177,2.408
cpilot09_zph2.6_15214_F.fits,150.11501,2.3276,2.552
cpilot09_zph2.7_15220_F.fits,150.12335,2.32413,2.623
cpilot09_zsp2.5_00856_F.fits,150.161,2.2759,2.504
cpilot09_zsp2.5_01753_F.fits,150.15979,2.37123,2.46
cpilot09_zsp2.5_01754_F.fits,150.14763,2.36719,2.455
cpilot09_zsp2.6_01252_F.fits,150.16002,2.35477,2.556
cpilot09_zsp2.6_01262_F.fits,150.11871,2.33762,2.552
cpilot09_zsp2.7_00858_F.fits,150.14117,2.27234,2.747
cpilot08_zph2.2_12568_F.fits,150.16913,2.23838,2.451
cpilot08_zph2.3_01886_F.fits,150.12947,2.2072,2.305
cpilot08_zph2.5_12604_F.fits,150.1651,2.22747,2.437
cpilot08_zsp2.3_00892_F.fits,150.10474,2.21573,2.321
cpilot08_zsp2.4_00877_F.fits,150.12111,2.23543,2.432
cpilot08_zsp2.7_00889_F.fits,150.14442,2.21977,2.71
cpilot08_zsp2.7_00903_F.fits,150.1205,2.1923,2.685
cpilot08_zsp2.7_00933_F.fits,150.10455,2.13738,2.69
cpilot03_zsp2.3_01330_F.fits,149.99364,2.36083,2.256
cpilot03_zsp2.7_00951_F.fits,150.0182,2.25944,2.673
cpilot12_zph2.4_14888_F.fits,150.24263,2.35848,2.278
cpilot12_zph2.4_14925_F.fits,150.23189,2.33713,2.456
cpilot12_zph2.4_15146_F.fits,150.22118,2.37094,2.517
cpilot12_zph2.6_12247_F.fits,150.24257,2.27782,2.525
cpilot12_zph2.6_14947_F.fits,150.2346,2.33237,2.505
cpilot12_zph2.6_15161_F.fits,150.22186,2.36248,2.5
cpilot12_zph2.6_15173_F.fits,150.22505,2.35619,2.507
cpilot12_zsp2.5_01268_F.fits,150.21138,2.32292,2.46
cpilot12_zsp2.5_01274_F.fits,150.22343,2.3072,2.491
cpilot12_zsp2.5_01678_F.fits,150.22528,2.3512,2.484
cpilot12_zsp2.7_01272_F.fits,150.19978,2.3155,2.738
npc05_zph2.3_12595_F.fits,150.07341,2.23328,2.303
npc05_zph2.3_12701_F.fits,150.07675,2.17348,2.486
npc05_zph2.5_12653_F.fits,150.06866,2.18897,2.3
npc05_zsp2.3_00964_F.fits,150.05905,2.24059,2.281
npc05_zsp2.4_01861_F.fits,150.08061,2.24284,2.437
c16_24_zph2.4_15103_F.fits,150.22504,2.39841,2.642
c16_24_zph2.4_15121_F.fits,150.2166,2.37826,2.375
c16_24_zph2.6_17723_F.fits,150.21797,2.49178,2.645
c16_24_zph2.7_17497_F.fits,150.22946,2.47711,2.628
c16_24_zsp2.5_01778_F.fits,150.19771,2.48577,2.535
c16_24_zsp2.6_01219_F.fits,150.20456,2.45545,2.586
c16_24_zsp2.7_01779_F.fits,150.20668,2.48269,2.675
c16_11_zph2.3_12434_F.fits,150.23575,2.1661,2.31
c16_11_zph2.3_12690_F.fits,150.21985,2.17724,2.61
c16_11_zph2.4_12707_F.fits,150.20447,2.17102,2.37
c16_11_zph2.5_12304_F.fits,150.22772,2.23602,2.489
c16_11_zph2.5_12634_F.fits,150.18759,2.20976,2.48
c16_11_zsp2.4_00884_F.fits,150.20885,2.22566,2.438
c16_20_zph2.6_17715_F.fits,150.09602,2.49511,2.538
c16_20_zph2.6_26486_F.fits,150.06027,2.3877,2.55
c16_20_zsp2.5_01241_F.fits,150.07576,2.38064,2.469
c16_20_zsp2.7_01233_F.fits,150.08762,2.39438,2.703
c16_22_zph2.4_15040_F.fits,150.13757,2.44066,2.51
c16_18_zph2.6_15288_F.fits,149.95987,2.45353,2.515
c16_18_zph2.6_15292_F.fits,149.95877,2.45022,2.627
c16_18_zsp2.4_01589_F.fits,150.01366,2.46674,2.415
c16_18_zsp2.5_01298_F.fits,149.97008,2.43493,2.458
c17_27s_zph2.4_12455_F.fits,150.24768,2.15066,2.294
c17_27s_zph2.5_12355_F.fits,150.25565,2.21225,2.578
c17_27s_zph2.5_32293_F.fits,150.2847,2.21318,2.503
c17_27s_zph2.6_12374_F.fits,150.27167,2.20637,2.615
c17_27s_zph2.7_12405_F.fits,150.27063,2.18604,2.58
c17_27s_zph2.7_32286_F.fits,150.27771,2.21997,2.495
c17_27s_zsp2.3_00805_F.fits,150.30594,2.19577,2.323
c17_27s_zsp2.5_00785_F.fits,150.27141,2.24478,2.506
c17_27s_zsp2.6_00783_F.fits,150.28088,2.24953,2.579
c17_27s_zsp2.6_00793_F.fits,150.27214,2.2301,2.611
c17_27s_zsp2.6_00823_F.fits,150.26257,2.16603,2.601
c17_28s_zph2.6_12252_F.fits,150.30026,2.27421,2.581
c17_28s_zph2.6_14978_F.fits,150.29825,2.31653,2.576
c17_28s_zsp2.4_01216_F.fits,150.26845,2.2975,2.408
c17_28s_zsp2.5_00771_F.fits,150.27863,2.27316,2.53
c17_28s_zsp2.5_01189_F.fits,150.29594,2.3454,2.465
c17_28s_zsp2.5_01193_F.fits,150.30426,2.33754,2.448
c17_28s_zsp2.5_01201_F.fits,150.25424,2.33063,2.468
c17_28s_zsp2.5_01203_F.fits,150.25378,2.32426,2.468
c17_29_zph2.3_33410_F.fits,150.28709,2.41177,2.312
c17_29_zph2.5_33398_F.fits,150.29295,2.42088,2.402
c17_29_zph2.5_33402_F.fits,150.30779,2.41704,2.545
c17_29_zph2.6_14815_F.fits,150.30571,2.39347,2.47
c17_29_zph2.6_17483_F.fits,150.31509,2.49175,2.4
c17_29_zph2.6_34570_F.fits,150.28142,2.48831,2.559
c17_29_zph2.7_14804_F.fits,150.31004,2.39676,2.566
c17_29_zph2.8_14723_F.fits,150.31305,2.45708,2.567
c17_29_zsp2.3_01174_F.fits,150.25618,2.38222,2.313
c17_29_zsp2.6_01157_F.fits,150.29317,2.45171,2.556
c17_62_zph2.3_14818_F.fits,150.34473,2.39424,2.279
c17_62_zph2.4_14776_F.fits,150.37248,2.41991,2.471
c17_62_zph2.4_17503_F.fits,150.33798,2.47542,2.403
c17_62_zph2.5_14742_F.fits,150.32265,2.44352,2.505
c17_62_zph2.5_14763_F.fits,150.32812,2.42992,2.555
c17_62_zph2.6_14751_F.fits,150.31796,2.43698,2.551
c17_62_zph2.7_17517_F.fits,150.3484,2.46721,2.587
c17_62_zsp2.5_01159_F.fits,150.35135,2.44302,2.452
c17_62_zsp2.5_01168_F.fits,150.31071,2.40391,2.496
c17_62_zsp2.5_01502_F.fits,150.3588,2.48178,2.471
c17_62_zsp2.5_01512_F.fits,150.35596,2.4634,2.471
c17_61L_zph2.5_14882_F.fits,150.34009,2.35964,2.452
c17_61L_zph2.5_15010_F.fits,150.32918,2.30061,2.317
c17_61L_zph2.5_32231_F.fits,150.32224,2.28384,2.586
c17_61L_zph2.6_12224_F.fits,150.31772,2.28078,2.534
c17_61L_zph2.6_14940_F.fits,150.36411,2.33619,2.494
c17_61L_zph2.6_15018_F.fits,150.37976,2.29622,2.496
c17_61L_zph2.6_33462_F.fits,150.37938,2.33715,2.498
c17_61L_zph2.8_32238_F.fits,150.38272,2.2858,2.658
c17_61L_zsp2.5_01187_F.fits,150.35432,2.35273,2.453
c17_61L_zsp2.6_00767_F.fits,150.31223,2.27923,2.578
c17_61L_zsp2.7_01205_F.fits,150.34872,2.32137,2.657
c17_61L_zsp2.7_01212_F.fits,150.37012,2.30588,2.655
