# Filename			 ID      g-mag  Conf   zspec   RA           Dec      S/N_lowz S/N_hiz
    cpilot02_zph2.8_12944_F.fits 12944   25.27   2.0   1.600  150.02998    2.18835    -9.0    -9.0
    cpilot02_zph2.8_12949_F.fits 12949   25.25   0.0   0.000  149.98083    2.18183    -9.0    -9.0
    cpilot02_zsp2.3_00962_F.fits 00962   24.36   4.0   2.267  150.00296    2.24145     2.1    -9.0
    cpilot02_zsp2.3_00977_F.fits 00977   24.38   0.0   0.000  149.96729    2.22683    -9.0    -9.0
    cpilot02_zsp2.3_01013_F.fits 01013   24.83   1.0   2.297  149.96033    2.15784    -9.0    -9.0
    cpilot02_zsp2.4_00965_F.fits 00965   24.40   3.0   2.442  149.99504    2.23980     1.6     1.8
    cpilot02_zsp2.4_00974_F.fits 00974   24.25   4.0   2.421  149.95604    2.23013     1.7     1.7
    cpilot02_zsp2.4_01018_F.fits 01018   24.70   2.0   2.429  149.97224    2.14488    -9.0    -9.0
    cpilot02_zsp2.4_01882_F.fits 01882   24.55   1.0   2.450  149.99516    2.23734    -9.0    -9.0
    cpilot02_zsp2.5_00990_F.fits 00990   24.35   3.0   2.458  149.98834    2.20705     1.3     1.5
    cpilot02_zsp2.5_01026_F.fits 01026   24.66   0.0   0.000  149.99985    2.13501    -9.0    -9.0
    cpilot02_zsp2.6_00986_F.fits 00986   24.57   4.0   2.556  149.99481    2.21234     1.5     1.6
    cpilot02_zsp2.6_00989_F.fits 00989   25.25   1.0   2.550  149.98679    2.20937    -9.0    -9.0
    cpilot02_zsp2.6_01009_F.fits 01009   24.43   4.0   2.623  150.01360    2.16877     1.9     2.1
    cpilot02_zsp2.7_00968_F.fits 00968   24.70   2.0   2.710  149.96432    2.23706    -9.0    -9.0
    cpilot02_zsp2.7_00982_F.fits 00982   24.68   3.0   2.658  150.02107    2.21256     1.4     1.6
    cpilot02_zsp2.8_01883_F.fits 01883   24.34   3.0   2.818  149.97958    2.23048     1.0     1.2
    cpilot02_zsp2.9_00958_F.fits 00958   24.20   4.0   2.894  150.03049    2.24853     3.3     3.3
       cpilot09_lae_10618_F.fits 10618   24.81   3.0   2.230  149.74208    2.06962     1.0    -9.0
       cpilot09_lae_11070_F.fits 11070   24.43   3.0   2.287  149.56433    1.97197     1.0    -9.0
       cpilot09_lae_13021_F.fits 13021   25.01   2.0   1.903  149.97202    2.13849    -9.0    -9.0
       cpilot09_lae_14880_F.fits 14880   24.79   3.0   2.063  150.27051    2.35793    -9.0    -9.0
       cpilot09_lae_18200_F.fits 18200   24.91   2.0   1.872  149.87375    2.46509    -9.0    -9.0
    cpilot09_zph2.2_01906_F.fits 01906   24.38   3.0   2.168  150.21675    2.36974    -9.0    -9.0
    cpilot09_zph2.4_01909_F.fits 01909   24.38   3.0   2.358  150.21675    2.36974     1.1    -9.0
    cpilot09_zph2.4_15168_F.fits 15168   24.48   0.0   0.000  150.15356    2.35770    -9.0    -9.0
    cpilot09_zph2.5_12535_F.fits 12535   24.74   1.0   2.570  150.14510    2.26271    -9.0    -9.0
    cpilot09_zph2.5_15182_F.fits 15182   24.74   3.0   2.513  150.12419    2.34884     1.6     1.5
    cpilot09_zph2.5_15268_F.fits 15268   24.63   3.0   2.505  150.15688    2.30079     2.1     2.0
    cpilot09_zph2.6_12505_F.fits 12505   24.38   4.0   2.408  150.21675    2.36974     2.9    -9.0
    cpilot09_zph2.6_12530_F.fits 12530   24.38   0.0   0.000  150.21675    2.36974    -9.0    -9.0
    cpilot09_zph2.6_15156_F.fits 15156   24.73   1.0   2.420  150.15025    2.36414    -9.0    -9.0
    cpilot09_zph2.6_15214_F.fits 15214   24.28   3.0   2.551  150.11501    2.32760     2.7     2.7
    cpilot09_zph2.7_15220_F.fits 15220   24.22   3.0   2.623  150.12335    2.32413     0.8     1.1
    cpilot09_zph2.8_15230_F.fits 15230   24.60   4.0   2.862  150.13387    2.31976     1.4     1.7
    cpilot09_zsp2.5_00856_F.fits 00856   24.75   3.0   2.504  150.16100    2.27590     3.0     2.7
    cpilot09_zsp2.5_01753_F.fits 01753   24.39   4.0   2.458  150.15979    2.37123     2.5     2.5
    cpilot09_zsp2.5_01754_F.fits 01754   23.98   4.0   2.452  150.14763    2.36719     3.7     3.6
    cpilot09_zsp2.6_01252_F.fits 01252   24.73   4.0   2.556  150.16002    2.35477     2.2     2.3
    cpilot09_zsp2.6_01262_F.fits 01262   24.52   4.0   2.552  150.11871    2.33762     2.7     2.6
    cpilot09_zsp2.7_00858_F.fits 00858   24.28   3.0   2.747  150.14117    2.27234     1.5     1.6
    cpilot09_zsp2.8_01283_F.fits 01283   24.86   3.0   2.806  150.11890    2.29898     1.2     1.3
    cpilot09_zsp2.9_00863_F.fits 00863   24.07   4.0   2.917  150.12247    2.26981    -9.0     1.9
        cpilot08_lae_7151_F.fits 07151   25.09   2.0   2.840  150.71179    1.86281    -9.0    -9.0
    cpilot08_zph2.2_12568_F.fits 12568   24.33   3.0   2.451  150.16913    2.23838     2.4     2.5
    cpilot08_zph2.2_12598_F.fits 12598   24.60   3.0   2.229  150.12146    2.23103     2.1    -9.0
    cpilot08_zph2.3_01886_F.fits 01886   24.38   4.0   2.305  150.21675    2.36974     1.6    -9.0
    cpilot08_zph2.3_12738_F.fits 12738   24.39   2.0   2.234  150.15083    2.14977    -9.0    -9.0
    cpilot08_zph2.5_12604_F.fits 12604   24.17   3.0   2.437  150.16510    2.22747     3.1     2.8
